YEAR,MO,DY,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,WS2M,ALLSKY_KT,ALLSKY_NKT,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX
2001,3,18,5.65,6.74,3.57,0.58,0.7,418.23,112.55,132.68,15.12,0.46,2.4
2001,3,19,6.19,6.89,4.94,0.63,0.77,415.78,123.27,136.35,16.46,0.49,2.59
2001,3,20,6.82,6.97,3.77,0.7,0.84,400.12,133.13,135.71,17.36,0.52,2.7
2001,3,21,6.68,6.96,2.78,0.68,0.81,395.51,130.63,135.31,17.09,0.5,2.62
2001,3,22,6.63,6.95,3.13,0.67,0.8,394.61,129.06,134.79,16.94,0.49,2.61
2001,3,23,6.52,6.97,3.37,0.66,0.79,401.2,127.8,136.02,16.83,0.48,2.52
2001,3,24,6.85,6.99,3.14,0.69,0.83,393.3,132.54,134.8,17.15,0.49,2.55
2001,3,25,6.71,6.95,3.24,0.67,0.8,401.98,131.13,135.05,17.14,0.49,2.57
2001,3,26,4.85,6.72,2.65,0.48,0.58,415.92,97.55,131.06,13.32,0.39,1.98
2001,3,27,5.27,6.84,5.71,0.52,0.62,422.25,105.88,134.7,14.43,0.42,2.17
2001,3,28,2.32,6.61,5.8,0.23,0.27,425.43,49.82,128.41,7.36,0.23,1.14
2001,3,29,4.39,6.6,7.12,0.44,0.52,420.65,88.08,126.52,12.03,0.35,1.8
2001,3,30,4.95,6.76,7.88,0.49,0.58,410.28,96.05,127.12,12.84,0.37,1.87
2001,3,31,2.99,6.86,7.17,0.3,0.35,419.96,62.21,131.7,8.9,0.25,1.28
2001,4,1,5.72,6.56,7.87,0.56,0.66,403.91,110.31,123.69,14,0.4,2.04
2001,4,2,4.37,6.5,6.84,0.43,0.51,420.25,87.41,124.52,11.58,0.34,1.69
2001,4,3,6.85,7,4.59,0.67,0.79,404.92,133.59,135.73,17.2,0.47,2.41
2001,4,4,5.34,6.83,4.97,0.52,0.62,414.31,105.38,131.87,13.92,0.38,1.93
2001,4,5,5.3,6.98,3.6,0.52,0.61,415.91,105.7,135.9,14.2,0.38,1.91
2001,4,6,6.56,6.83,4.08,0.63,0.75,410.79,128.33,132.44,16.3,0.46,-999
2001,4,7,6.09,6.54,2.47,0.59,0.7,416.87,118.43,125.32,14.87,0.43,2.24
2001,4,8,5.84,6.24,3.37,0.56,0.66,412.05,111.26,117.23,13.52,0.38,1.96
2001,4,9,5.28,6.48,4.23,0.51,0.6,419.14,103.2,123.3,12.92,0.37,1.9
2001,4,10,3.76,6.34,5.35,0.36,0.42,436.2,75.98,121.03,9.99,0.3,1.55
2001,4,11,3.62,6.5,3.7,0.34,0.41,433.36,72.29,123.77,9.68,0.28,1.45
2001,4,12,1.8,6.36,6.79,0.17,0.2,428.81,38.93,120.53,5.41,0.16,0.8
2001,4,13,2.9,6.42,7.39,0.27,0.33,428.4,60.28,121.88,8.15,0.23,1.15
2001,4,14,3.46,6.74,6.45,0.33,0.38,436.73,72.05,129.76,9.93,0.29,1.46
2001,4,15,4.62,6.78,6.59,0.44,0.52,431.43,93.41,131.35,12.44,0.34,1.72
2001,4,16,5.37,7.11,6.02,0.51,0.59,426.13,108.53,139.2,14.59,0.41,2.05
2001,4,17,6.19,7.03,4.18,0.59,0.69,417.23,121.83,135.94,15.9,0.44,2.27
2001,4,18,6.15,6.87,2.65,0.58,0.68,415.29,120.49,132.11,15.45,0.41,2.15
2001,4,19,6.17,6.72,4.73,0.59,0.68,421.14,121.13,129.39,15.34,0.41,2.13
2001,4,20,6.62,6.87,4.15,0.62,0.73,416.87,128.6,131.7,16.27,0.42,2.16
2001,4,21,6.81,7.09,2.91,0.64,0.75,412.93,132.15,135.98,16.93,0.44,2.23
2001,4,22,5.23,7.11,6.62,0.49,0.57,422.84,103.41,136.77,13.9,0.37,1.85
2001,4,23,6.57,7.19,6.42,0.62,0.72,413.34,129.85,139.43,16.91,0.45,-999
2001,4,24,6.29,7.17,5.4,0.59,0.69,420.74,124.06,138.26,16.14,0.43,2.2
2001,4,25,4.03,7.24,5.55,0.38,0.44,440.95,84.41,141.93,11.86,0.34,1.71
2001,4,26,3.01,7.28,5.9,0.28,0.33,435.03,64.66,142.88,9.52,0.27,1.41
2001,4,27,5.26,7.41,6.43,0.49,0.57,426.13,107.5,146.27,14.88,0.43,2.19
2001,4,28,7.2,7.57,5.59,0.67,0.78,422.32,143.7,149.35,19.06,0.53,2.74
2001,4,29,6.41,7.59,4.55,0.59,0.7,425.44,129.09,149.59,17.49,0.49,2.51
2001,4,30,7.39,7.66,1.84,0.69,0.8,414.62,145.8,149.64,19.26,0.52,2.7
2001,5,1,7.16,7.61,1.73,0.66,0.77,410.23,141.77,148.71,18.8,0.52,2.67
2001,5,2,6.47,7.29,3.13,0.6,0.7,415.04,127.19,140.91,16.72,0.46,2.37
2001,5,3,4.06,7.4,5.5,0.38,0.44,430.23,84.27,145.34,11.93,0.34,1.75
2001,5,4,6.93,7.35,6.17,0.64,0.74,418.33,137.59,143.87,18,0.51,2.63
2001,5,5,6.67,7.44,4.2,0.62,0.71,421.98,133.26,146.12,17.59,0.5,2.58
2001,5,6,7.37,7.68,2.8,0.68,0.79,412.91,145.2,149.52,19.12,0.54,2.79
2001,5,7,6.9,7.57,3.46,0.63,0.73,417.55,137.56,148.55,18.27,0.52,2.66
2001,5,8,6.42,7.58,3.17,0.59,0.69,425.62,129.41,148.95,17.38,0.5,2.55
2001,5,9,7.23,7.55,2.73,0.66,0.77,422.96,143.3,147.86,18.8,0.54,2.84
2001,5,10,6,7.47,6.44,0.55,0.64,433.73,121.74,147.35,16.49,0.48,2.48
2001,5,11,2.86,7.44,8.91,0.27,0.3,439.4,61.82,147.73,9.23,0.27,1.4
2001,5,12,0.78,7.22,10.11,0.07,0.09,440.18,17.77,142.7,2.79,0.08,0.41
2001,5,13,2.31,7.35,4.88,0.21,0.24,437.88,50.23,145.57,7.47,0.22,1.1
2001,5,14,5.99,7.39,2.05,0.55,0.63,432.4,120.99,145.2,16.31,0.48,2.48
2001,5,15,6.39,7.56,1.79,0.59,0.68,431.25,129.61,150.06,17.46,0.49,2.52
2001,5,16,7.13,7.56,1.97,0.66,0.76,424.3,142.38,149.16,18.78,0.52,2.65
2001,5,17,7.26,7.69,2.04,0.66,0.77,422.23,144.91,151.49,19.28,0.54,2.78
2001,5,18,6.77,7.64,1.53,0.62,0.71,421.51,135.5,149.88,18.01,0.5,2.55
2001,5,19,3.16,7.53,4.14,0.29,0.34,433.68,67.61,148.05,9.87,0.28,1.41
2001,5,20,1.02,6.97,5.86,0.09,0.11,438.31,23.04,135.74,3.51,0.09,0.48
2001,5,21,4.92,7.38,6.91,0.45,0.52,441.59,101.14,145.85,14.15,0.4,2.03
2001,5,22,5.93,7.48,7.69,0.54,0.62,439.25,120.7,147.76,16.53,0.47,2.42
2001,5,23,2.13,7.39,7.28,0.2,0.23,440.46,46.12,146.24,6.77,0.17,0.88
2001,5,24,1.85,7.56,3.69,0.17,0.2,440.14,40.97,150.27,6.23,0.17,0.89
2001,5,25,5.8,7.58,1.3,0.53,0.61,433.17,119.52,151.34,16.56,0.48,2.45
2001,5,26,4.06,7.53,3.16,0.37,0.43,436.22,85.86,149.56,12.41,0.36,1.85
2001,5,27,6.18,7.52,4.37,0.56,0.65,433.37,125.61,149.18,17.14,0.49,2.55
2001,5,28,2.4,7.17,6.4,0.22,0.25,438.23,52.35,140.92,7.71,0.22,1.09
2001,5,29,2.76,7.38,6.91,0.25,0.29,440.01,60.48,145.99,9.05,0.26,1.3
2001,5,30,5.46,7.45,6.54,0.5,0.57,434.42,112.09,147.14,15.36,0.45,2.31
2001,5,31,6.2,7.47,5.17,0.56,0.65,433.67,126.03,147.82,17.12,0.52,2.67
2001,6,1,4.41,7.46,3.91,0.4,0.46,438.2,92.73,147.8,13.2,0.38,1.94
2001,6,2,5.22,7.72,5.05,0.48,0.55,432.72,107.91,153.25,15.36,0.45,2.27
2001,6,3,7.25,7.8,4.16,0.66,0.76,428.3,145.91,154.9,19.59,0.56,2.94
2001,6,4,7.6,7.8,2.51,0.7,0.8,423.49,151.49,154.01,20.09,0.57,2.95
2001,6,5,7.09,7.77,3.12,0.65,0.74,426.41,142.75,153.88,19.14,0.55,2.89
2001,6,6,6.27,7.78,1.91,0.57,0.66,428.78,126.88,153.57,17.38,0.49,2.52
2001,6,7,7.44,7.83,1.88,0.68,0.78,422.74,148.15,154.34,19.74,0.56,2.94
2001,6,8,6.91,7.82,2.39,0.63,0.73,428.73,138.8,154.52,18.85,0.55,2.87
2001,6,9,6.94,7.8,2.91,0.63,0.73,425.91,139.58,153.85,18.84,0.55,2.84
2001,6,10,7.47,7.83,2.27,0.68,0.78,424.17,149.13,154.72,19.91,0.57,3
2001,6,11,7.42,7.78,3.94,0.68,0.78,426.75,148.46,153.89,19.74,0.57,2.97
2001,6,12,7.01,7.7,6.05,0.64,0.73,431.25,141.27,152.83,18.98,0.55,2.89
2001,6,13,5.7,7.71,8.09,0.52,0.6,437.79,117.13,153.45,16.46,0.48,2.49
2001,6,14,5.88,7.73,8.65,0.54,0.62,439.02,120.2,153.76,16.83,0.51,2.63
2001,6,15,5.36,7.69,4.31,0.48,0.56,434.32,110.27,152.65,15.67,0.48,2.49
2001,6,16,7.4,7.72,3.25,0.67,0.77,427.15,147.97,152.66,19.6,0.56,2.92
2001,6,17,6.48,7.75,4.84,0.59,0.68,431.32,131.38,153.23,17.95,0.53,2.77
2001,6,18,0.9,7.63,6.79,0.09,0.09,444.16,20.48,152.34,3.29,0.09,0.46
2001,6,19,2.79,7.48,6.8,0.26,0.29,439.71,60.84,149.03,9.19,0.27,1.41
2001,6,20,6.06,7.59,3.02,0.55,0.63,434.26,123.54,150.12,16.88,0.51,2.63
2001,6,21,7.2,7.81,5.79,0.66,0.76,431.1,144.8,154.91,19.52,0.59,3.11
2001,6,22,3.05,7.7,7.31,0.28,0.32,440.97,66.04,154.62,9.84,0.32,1.65
2001,6,23,2.78,7.51,8.86,0.25,0.29,440.4,60.95,149.91,9.23,0.29,1.46
2001,6,24,5.49,7.55,4.45,0.5,0.58,435.21,112.71,149.3,15.73,0.47,2.43
2001,6,25,5.95,7.72,5.34,0.54,0.62,431.45,121.05,152.62,16.78,0.49,2.53
2001,6,26,5.41,7.77,2.73,0.49,0.57,433.15,111.91,154.67,15.87,0.48,2.47
2001,6,27,7.29,7.84,5.3,0.66,0.77,424.38,146.82,155.72,19.71,0.56,2.94
2001,6,28,6.5,7.82,6.84,0.59,0.68,427.59,132.31,155.63,18.2,0.53,2.73
2001,6,29,5.03,7.79,6.98,0.46,0.53,433.16,104.14,155.36,14.95,0.44,2.26
2001,6,30,7.1,7.78,8.13,0.65,0.74,430.21,142.66,154.27,19.25,0.56,2.95
2001,7,1,6.25,7.82,6.85,0.57,0.66,425.96,126.96,154.05,17.41,0.51,2.63
2001,7,2,7.2,7.84,5.59,0.66,0.76,419.99,143.65,154.36,19.33,0.55,2.88
2001,7,3,5.58,7.79,7.16,0.51,0.59,428.7,114.03,153.54,16.02,0.47,2.41
2001,7,4,2.49,7.64,17.36,0.23,0.26,445.98,54.75,153.84,8.38,0.25,1.29
2001,7,5,2.76,7.45,14.35,0.25,0.29,443.91,60.62,148.99,9.21,0.29,1.49
2001,7,6,6.79,7.38,5.78,0.62,0.72,434.01,136.66,146.24,18.14,0.53,2.75
2001,7,7,6.75,7.52,2.35,0.62,0.71,433.37,136.22,149.27,18.27,0.54,2.8
2001,7,8,7.28,7.73,2.62,0.66,0.77,422.23,144.92,152.2,19.32,0.55,2.84
2001,7,9,6.2,7.7,3.45,0.57,0.66,423.12,125.88,152.18,17.22,0.48,2.47
2001,7,10,0.87,7.58,5.28,0.08,0.09,433.66,19.87,151.18,3.16,0.09,0.44
2001,7,11,1.04,7.58,7.1,0.09,0.11,433.32,23.69,150.66,3.8,0.12,0.59
2001,7,12,6.45,7.55,6.15,0.59,0.68,425.92,130.36,149.3,17.55,0.52,2.66
2001,7,13,6.55,7.58,3.34,0.6,0.7,422.95,131.89,149.65,17.73,0.52,2.66
2001,7,14,6.55,7.59,3.07,0.6,0.7,426.55,132.57,150.46,17.92,0.52,2.72
2001,7,15,6.11,7.43,3.77,0.56,0.65,430.51,124.16,146.98,16.76,0.48,2.44
2001,7,16,6.21,7.4,5.52,0.57,0.66,429.6,126.05,146.53,16.95,0.5,2.57
2001,7,17,6,7.19,5.2,0.55,0.63,431.91,121.54,141.92,16.08,0.45,2.34
2001,7,18,6.67,7.31,5.36,0.61,0.7,430.81,134.18,144.65,17.73,0.52,2.72
2001,7,19,5.43,7.5,3.7,0.5,0.58,432.56,111.7,148.91,15.47,0.46,2.37
2001,7,20,5.92,7.63,2.43,0.55,0.62,432.09,121.74,152.28,16.84,0.52,2.7
2001,7,21,7.17,7.69,3.48,0.66,0.76,425.84,143.52,152.2,19.24,0.56,2.94
2001,7,22,7.01,7.66,2.55,0.65,0.74,426.92,140.89,151.38,18.84,0.54,2.79
2001,7,23,1.4,7.38,4.91,0.12,0.15,435.57,31.47,146.37,4.91,0.14,0.73
2001,7,24,6,7.53,5.27,0.55,0.64,434.59,122.84,150.03,16.87,0.51,2.61
2001,7,25,5.63,7.54,4.42,0.52,0.6,433.04,116.11,149.9,16.22,0.48,2.52
2001,7,26,7.1,7.67,2.52,0.66,0.76,425.73,142.77,152.52,19.25,0.56,2.92
2001,7,27,7.06,7.64,3.23,0.65,0.75,425.28,142.18,151.88,19.09,0.55,2.9
2001,7,28,4.69,7.56,7,0.44,0.5,435.12,97.67,149.95,14.07,0.41,2.09
2001,7,29,1.02,7.29,9.31,0.09,0.11,436.84,23.11,144.45,3.6,0.1,0.52
2001,7,30,4.93,7.33,7.25,0.45,0.52,434,102.64,145.3,14.3,0.43,2.2
2001,7,31,5.06,7.15,5.29,0.47,0.54,434.13,104.27,140.71,14.26,0.43,2.21
2001,8,1,5.6,7.4,2.71,0.52,0.6,431.38,115.12,146.48,15.8,0.47,2.41
2001,8,2,7.23,7.61,2.99,0.67,0.77,423.75,145.36,151.27,19.43,0.55,2.88
2001,8,3,6.69,7.66,4.67,0.62,0.72,429.63,133.89,150.59,18.12,0.51,2.62
2001,8,4,7.03,7.56,5.93,0.66,0.76,432,141.93,150.46,18.98,0.55,2.85
2001,8,5,7.28,7.56,4.64,0.68,0.78,424.7,145.64,149.63,19.33,0.55,2.84
2001,8,6,7.34,7.51,2.37,0.69,0.8,422.66,146.94,148.93,19.45,0.55,2.9
2001,8,7,5.63,7.44,2.19,0.52,0.61,428.94,114.7,147.07,15.85,0.45,2.32
2001,8,8,7.12,7.46,3.93,0.66,0.77,426.98,142.42,147.42,18.89,0.54,2.8
